Mumbai,Maharashtra
Delhi,Delhi
Bangalore,Karnataka
Hyderabad,Telangana
Ahmedabad,Gujarat
Chennai,Tamil Nadu
Kolkata,West Bengal
Surat,Gujarat
Pune,Maharashtra
Jaipur,Rajasthan
Visakhapatnam[a],Andhra Pradesh
Kanpur,Uttar Pradesh
Nagpur,Maharashtra
Lucknow,Uttar Pradesh
Thane,Maharashtra
Bhopal,Madhya Pradesh
Indore,Madhya Pradesh
Pimpri-Chinchwad,Maharashtra
Patna,Bihar
Vadodara,Gujarat
Ghaziabad,Uttar Pradesh
Ludhiana,Punjab
Agra,Uttar Pradesh
Nashik,Maharashtra
Faridabad,Haryana
Meerut,Uttar Pradesh
Rajkot,Gujarat
Kalyan-Dombivli,Maharashtra
Vasai-Virar,Maharashtra
Varanasi,Uttar Pradesh
Srinagar,Jammu and Kashmir
Aurangabad,Maharashtra
Dhanbad,Jharkhand
Amritsar,Punjab
Navi Mumbai,Maharashtra
Allahabad,Uttar Pradesh
Howrah,West Bengal
Ranchi,Jharkhand
Gwalior,Madhya Pradesh
Jabalpur,Madhya Pradesh
Coimbatore,Tamil Nadu
Vijayawada,Andhra Pradesh
Jodhpur,Rajasthan
Madurai,Tamil Nadu
Raipur,Chhattisgarh
Chandigarh,Chandigarh
Guntur,Andhra Pradesh
Guwahati,Assam
Solapur,Maharashtra
Hubliâ€“Dharwad,Karnataka
Mysore,Karnataka
Tiruchirappalli,Tamil Nadu
Bareilly,Uttar Pradesh
Moradabad,Uttar Pradesh
Tiruppur,Tamil Nadu
Gurgaon,Haryana
Aligarh,Uttar Pradesh
Jalandhar,Punjab
Bhubaneswar,Odisha
Salem,Tamil Nadu
Mira-Bhayandar,Maharashtra
Warangal,Telangana
Jalgaon,Maharashtra
Kota,Rajasthan
Bhiwandi,Maharashtra
Saharanpur,Uttar Pradesh
Gorakhpur,Uttar Pradesh
Bikaner,Rajasthan
Amravati,Maharashtra
Noida,Uttar Pradesh
Jamshedpur,Jharkhand
Bhilai,Chhattisgarh
Cuttack,Odisha
Firozabad,Uttar Pradesh
Kochi,Kerala
Nellore,Andhra Pradesh
Bhavnagar,Gujarat
Dehradun,Uttarakhand
Durgapur,West Bengal
Asansol,West Bengal
Rourkela,Odisha
Nanded,Maharashtra
Kolhapur,Maharashtra
Ajmer,Rajasthan
Akola,Maharashtra
Gulbarga,Karnataka
Jamnagar,Gujarat
Ujjain,Madhya Pradesh
Loni,Uttar Pradesh
Siliguri,West Bengal
Jhansi,Uttar Pradesh
Ulhasnagar,Maharashtra
Jammu,Jammu and Kashmir
Sangli-Miraj & Kupwad,Maharashtra
Mangalore,Karnataka
Erode,Tamil Nadu
Belgaum,Karnataka
Ambattur,Tamil Nadu
Tirunelveli,Tamil Nadu
Malegaon,Maharashtra
Gaya,Bihar
Thiruvananthapuram,Kerala
Udaipur,Rajasthan
Kakinada,Andhra Pradesh
Davanagere,Karnataka
Kozhikode,Kerala
Maheshtala,West Bengal
Rajpur Sonarpur,West Bengal
Rajahmundry,Andhra Pradesh
Bokaro,Jharkhand
South Dumdum,West Bengal
Bellary,Karnataka
Patiala,Punjab
Gopalpur,West Bengal
Agartala,Tripura
Bhagalpur,Bihar
Muzaffarnagar,Uttar Pradesh
Bhatpara,West Bengal
Panihati,West Bengal
Latur,Maharashtra
Dhule,Maharashtra
Tirupati,Andhra Pradesh
Rohtak,Haryana
Sagar,Madhya Pradesh
Korba,Chhattisgarh
Bhilwara,Rajasthan
Berhampur,Odisha
Muzaffarpur,Bihar
Ahmednagar,Maharashtra
Mathura,Uttar Pradesh
Kollam,Kerala
Avadi,Tamil Nadu
Kadapa,Andhra Pradesh
Kamarhati,West Bengal
Sambalpur,Odisha
Bilaspur,Chhattisgarh
Shahjahanpur,Uttar Pradesh
Satara,Maharashtra
Bijapur,Karnataka
Kurnool,Andhra Pradesh
Rampur,Uttar Pradesh
Shimoga,Karnataka
Chandrapur,Maharashtra
Junagadh,Gujarat
Thrissur,Kerala
Alwar,Rajasthan
Bardhaman,West Bengal
Kulti,West Bengal
Nizamabad,Telangana
Parbhani,Maharashtra
Tumkur,Karnataka
Khammam,Telangana
Ozhukarai,Puducherry
Bihar Sharif,Bihar
Panipat,Haryana
Darbhanga,Bihar
Bally,West Bengal
Aizawl,Mizoram
Dewas,Madhya Pradesh
Ichalkaranji,Maharashtra
Karnal,Haryana
Bathinda,Punjab
Jalna,Maharashtra
Eluru,Andhra Pradesh
Barasat,West Bengal
Kirari Suleman Nagar,Delhi
Purnia,Bihar
Satna,Madhya Pradesh
Mau,Uttar Pradesh
Sonipat,Haryana
Farrukhabad,Uttar Pradesh
Durg,Chhattisgarh
Imphal,Manipur
Ratlam,Madhya Pradesh
Hapur,Uttar Pradesh
Arrah,Bihar
Anantapur,Andhra Pradesh
Karimnagar,Telangana
Etawah,Uttar Pradesh
Ambarnath,Maharashtra
North Dumdum,West Bengal
Bharatpur,Rajasthan
Begusarai,Bihar
New Delhi,Delhi
Gandhidham,Gujarat
Baranagar,West Bengal
Tiruvottiyur,Tamil Nadu
Pondicherry,Puducherry
Sikar,Rajasthan
Thoothukudi,Tamil Nadu
Rewa,Madhya Pradesh
Mirzapur,Uttar Pradesh
Raichur,Karnataka
Pali,Rajasthan
Ramagundam,Telangana
Haridwar,Uttarakhand
Vijayanagaram,Andhra Pradesh
Tenali,Andhra Pradesh
Nagercoil,Tamil Nadu
Sri Ganganagar,Rajasthan
Karawal Nagar,Delhi
Mango,Jharkhand
Thanjavur,Tamil Nadu
Bulandshahr,Uttar Pradesh
Uluberia,West Bengal
Katni,Madhya Pradesh
Sambhal,Uttar Pradesh
Singrauli,Madhya Pradesh
Nadiad,Gujarat
Secunderabad,Telangana
Naihati,West Bengal
Yamunanagar,Haryana
Bidhannagar,West Bengal
Pallavaram,Tamil Nadu
Bidar,Karnataka
Munger,Bihar
Panchkula,Haryana
Burhanpur,Madhya Pradesh
Raurkela Industrial Township,Odisha
Kharagpur,West Bengal
Dindigul,Tamil Nadu
Gandhinagar,Gujarat
Hospet,Karnataka
Nangloi Jat,Delhi
Malda,West Bengal
Ongole,Andhra Pradesh
Deoghar,Jharkhand
Chapra,Bihar
Haldia,West Bengal
Khandwa,Madhya Pradesh
Nandyal,Andhra Pradesh
Morena,Madhya Pradesh
Amroha,Uttar Pradesh
Anand,Gujarat
Bhind,Madhya Pradesh
Bhalswa Jahangir Pur,Delhi
Madhyamgram,West Bengal
Bhiwani,Haryana
Berhampore,West Bengal
Ambala,Haryana
Morbi,Gujarat
Fatehpur,Uttar Pradesh
Raebareli,Uttar Pradesh
Mahaboobnagar,Telangana
Chittoor,Andhra Pradesh
Bhusawal,Maharashtra
Orai,Uttar Pradesh
Bahraich,Uttar Pradesh
Vellore,Tamil Nadu
Mehsana,Gujarat
Raiganj,West Bengal
Sirsa,Haryana
Danapur,Bihar
Serampore,West Bengal
Sultan Pur Majra,Delhi
Guna,Madhya Pradesh
Jaunpur,Uttar Pradesh
Panvel,Maharashtra
Shivpuri,Madhya Pradesh
Surendranagar Dudhrej,Gujarat
Unnao,Uttar Pradesh
Chinsurah,West Bengal
Alappuzha,Kerala
Kottayam,Kerala
Machilipatnam,Andhra Pradesh
Shimla,Himachal Pradesh
Adoni,Andhra Pradesh
Udupi,Karnataka
Katihar,Bihar
Proddatur,Andhra Pradesh
Saharsa,Bihar
Hindupur,Andhra Pradesh
Sasaram,Bihar
Hajipur,Bihar
Bhimavaram,Andhra Pradesh
Kumbakonam,Tamil Nadu
Dehri,Bihar
Madanapalle,Andhra Pradesh
Siwan,Bihar
Bettiah,Bihar
Guntakal,Andhra Pradesh
Srikakulam,Andhra Pradesh
Motihari,Bihar
Dharmavaram,Andhra Pradesh
Gudivada,Andhra Pradesh
Phagwara,Punjab
Narasaraopet,Andhra Pradesh
Suryapet,Telangana
Miryalaguda,Telangana
Tadipatri,Andhra Pradesh
Karaikudi,Tamil Nadu
Kishanganj,Bihar
Jamalpur,Bihar
Ballia,Uttar Pradesh
Kavali,Andhra Pradesh
Tadepalligudem,Andhra Pradesh
Amaravati,Andhra Pradesh
Buxar,Bihar
Jehanabad,Bihar
Aurangabad,Bihar
Gangtok,Sikkim